,name,size,terrace,age_1,ku,room,Living,Dining,Kitchen,Service,No.ofRooms,price
0,シャトレーイン東京・笹塚,14.52,-,12387 days,渋谷,1,0,0,0,0,1,770
2,ライオンズマンション西日暮里北,19.6,3.36,11442 days,荒川,1,0,0,1,0,2,880
8,プレール新中野,17.45,2.5,11291 days,中野,1,0,0,1,0,2,1280
9,ニュー荻窪フラワーホーム,31.44,5.51,17894 days,杉並,1,0,1,1,0,3,1280
10,ライオンズマンション西日暮里北,44.62,11.01,11442 days,荒川,2,0,1,1,0,4,1380
11,カルム赤坂,21.46,-,16312 days,港,1,0,0,0,0,1,1380
12,ライオンズマンション青戸第２,28.72,3.74,12295 days,葛飾,1,0,0,1,0,2,1398
13,田町サンハイツ,17.36,2.7,16373 days,港,1,0,0,0,0,1,1450
14,吾妻橋マンション,33.46,2.96,18200 days,墨田,1,1,1,1,0,4,1480
16,文京第３ライオンズマンション,20.07,2.75,13968 days,文京,1,0,0,0,0,1,1498
18,シャトレー上野,22.36,2.35,14303 days,台東,1,0,0,1,0,2,1580
26,シャンボール旗の台,34.3,3.15,18655 days,品川,1,0,0,0,0,1,1600
29,ダイアパレス四谷舟町,27.42,3.36,15309 days,新宿,1,0,0,0,0,1,1680
34,グリーンピア千寿　リノベーション済み,50.62,1.91,14606 days,足立,2,1,1,1,0,5,1680
35,ガーデン鷹乃羽,14.27,4.35,11107 days,新宿,1,0,0,0,0,1,1680
36,ライオンズプラザ芝公園,18.97,2.61,14303 days,港,1,0,0,0,0,1,1698
40,武蔵野グリーンハイツ,33.94,-,16982 days,世田谷,1,1,1,1,0,4,1780
41,祐天寺ハイツ,31.24,2.21,20208 days,目黒,1,1,1,1,0,4,1780
42,祐天寺ハイツ,31.15,2,20208 days,目黒,1,0,1,1,0,3,1780
44,＼弊社売主／「スカイタウン竹の塚」ローン支払い月々４…,59.41,7.26,16860 days,足立,2,1,1,1,0,5,1790
45,お花茶屋スカイマンション,55,5.5,14882 days,葛飾,3,0,1,1,0,5,1790
46,梅田マンション,49.06,15.05,17255 days,足立,2,0,1,1,0,4,1799
47,ライオンズマンション中央本町,62.1,12.32,12903 days,足立,2,1,1,1,0,5,1799
49,東神ダイアパレス新小岩,58.7,5.5,14606 days,江戸川,3,0,1,1,0,5,1880
50,中野坂上ダイヤハイツ,25.16,2.43,18078 days,中野,1,0,1,1,0,3,1880
52,エミネス北綾瀬,51.71,5.13,14882 days,足立,3,1,1,1,0,6,1880
55,アイビス富士見台,43.95,2.94,17773 days,練馬,1,1,1,1,1,5,1880
58,梅島ハイツ,53.04,6.6,17104 days,足立,3,0,1,1,0,5,1880
60,白鬚橋ローヤルコーポ,52.57,7.45,15217 days,台東,2,0,1,1,0,4,1890
61,ヴェラハイツ日本橋,20.9,2.5,15003 days,中央,1,0,0,1,0,2,1898
64,ウィン青山,15.5,2.09,15003 days,港,1,0,0,0,0,1,1900
71,千駄木センチュリー２１,24.42,3.4,14029 days,文京,1,0,0,1,0,2,1980
76,シャンボール南品川,30.96,3.24,18596 days,品川,1,0,1,1,0,3,1998
80,ハイツ新富町,28.38,6.14,14486 days,中央,1,0,0,0,0,1,2090
81,ハイツ新富町,28.38,6.14,14486 days,中央,1,0,0,0,0,1,2090
84,大森フラワーマンション,43.2,4.7,16982 days,大田,2,0,1,1,0,4,2099
86,ライオンズマンション飯田橋,32.4,5.4,14394 days,新宿,1,0,1,1,0,3,2140
88,マンション弦巻,35,5.4,17286 days,世田谷,1,1,1,1,0,4,2180
89,ライオンズマンション王子,36.12,4.8,14851 days,北,2,0,1,1,0,4,2180
90,ニックハイム大森海岸,39.6,6.5,17104 days,品川,1,1,1,1,0,4,2180
92,エンゼルハイム金町第２,61.6,-,9799 days,葛飾,3,0,1,1,0,5,2180
95,ジョイフル門前仲町第1,34.44,6.48,15187 days,江東,1,1,1,1,0,4,2180
96,東中野第二コーポ,35.2,5.4,17651 days,中野,1,0,1,1,0,3,2180
97,ファミール築地,39.93,3.24,18047 days,中央,1,0,1,1,0,3,2180
100,高円寺北コーポ,30.13,2.15,18290 days,杉並,1,1,1,1,0,4,2180
101,ライオンズマンション大森,36.49,4.38,15552 days,品川,1,0,1,1,0,3,2180
103,エスエスケーグリーンパーク竹の塚,72.79,9.87,9889 days,足立,4,1,1,1,0,7,2180
104,新宿フラワーハイホーム,27.7,5.6,15095 days,新宿,1,0,0,0,0,1,2180
106,ジュネス第２馬込,38.88,3.78,14729 days,大田,1,1,1,1,0,4,2198
107,ライオンズマンション錦糸町第５,37.32,3.28,13329 days,墨田,1,0,1,1,0,3,2198
108,江古田ビル,48.62,-,20361 days,中野,2,1,1,1,0,5,2199
109,文京久保田マンション,36.89,4.5,16921 days,文京,1,1,1,1,0,4,2199
110,リレント早稲田,39.93,3.66,16008 days,豊島,1,1,1,1,0,4,2199
111,雪谷第２コーポラス,39.96,3.08,18231 days,大田,1,0,1,1,0,3,2199
113,野沢サマリヤマンション,48,6.48,17743 days,世田谷,2,1,1,1,0,5,2199
120,ハイツ池の上,36.56,-,20177 days,世田谷,1,0,1,1,0,3,2280
121,阿佐ヶ谷ローヤルコーポ,38.83,4.56,16190 days,杉並,2,0,0,1,0,3,2280
123,パールマンション亀戸,51.02,3.48,14213 days,江東,2,1,1,1,0,5,2280
124,蒲田フラワーマンション,51.3,7.02,15248 days,大田,2,1,1,1,0,5,2280
125,ドルミ錦糸町長谷川ビル,32.72,17.99,15034 days,墨田,1,0,1,1,0,3,2280
127,西武ルミエール武蔵関　,53.55,12.5,15278 days,練馬,2,1,1,1,0,5,2280
129,ライオンズマンション桜上水,45,4.05,16617 days,杉並,2,0,1,1,0,4,2280
130,北小岩パークホームズ,80.46,8.02,10589 days,江戸川,2,1,1,1,0,5,2280
131,ライオンズマンション梅島第２,54.15,5.7,11929 days,足立,2,1,1,1,0,5,2290
132,秀和綾瀬レジデンス,57.2,11.69,13817 days,足立,3,0,1,1,0,5,2290
134,ヴィラロイヤル三番町,20.85,2.79,15917 days,千代田,1,0,0,1,0,2,2298
135,トーカンマンション駒込,29.58,2.35,14668 days,豊島,1,0,0,0,0,1,2298
136,石神井ゴールデンハイツ,56.51,4.86,14547 days,練馬,3,0,1,1,1,6,2300
138,東建ニューハイツ九段,25.67,4.32,14972 days,千代田,1,0,0,0,0,1,2300
139,ベルフラワー鹿浜,75.67,6.97,11319 days,足立,3,1,1,1,0,6,2349
140,新高円寺ダイカンプラザＣｉｔｙ,31.04,3.88,10681 days,杉並,1,0,1,1,0,3,2350
141,ライオンズヴィアーレ北綾瀬弐番館,68.38,11.16,6694 days,足立,2,1,1,1,1,6,2350
142,馬込マンション,48.6,5.4,16921 days,大田,1,1,1,1,1,5,2380
143,グリーンパーク西綾瀬Ⅱ,62.74,7.95,11564 days,足立,2,1,1,1,0,5,2380
144,綾瀬ダイカンプラザ,62.7,5.94,14517 days,足立,3,1,1,1,0,6,2380
146,若林ハイホーム　Ａ棟,37.11,2.65,19265 days,世田谷,1,1,1,1,0,4,2380
148,奥戸ハウス,62.72,8.4,14943 days,葛飾,3,1,1,1,0,6,2380
151,ニックハイム大森海岸,43.2,4.5,17104 days,品川,2,0,1,1,0,4,2380
153,カインドステージ竹ノ塚,73.35,12.54,6482 days,足立,3,1,1,1,0,6,2380
154,バルミー赤坂,28.09,-,16039 days,港,1,0,0,0,0,1,2380
155,新大橋永谷マンション,40.5,4.95,17316 days,江東,1,1,1,1,0,4,2390
157,コスモ平井,59.45,2.8,12203 days,江戸川,3,0,1,1,0,5,2390
158,ライオンズマンション六本木,26.56,2.07,15764 days,港,1,0,0,0,0,1,2398
159,市ヶ谷春日マンション,34.48,2.1,17865 days,新宿,1,1,1,1,0,4,2398
161,メゾン本駒込,40.95,-,16525 days,文京,1,1,1,1,0,4,2399
162,グラード舎人,56.93,7.4,5233 days,足立,2,1,1,1,0,5,2399
