name,price,location,station,size,floor,terrace,age
シャトレーイン東京・笹塚,770万円,東京都渋谷区笹塚１,京王線「笹塚」徒歩5分,14.52m2（4.39坪）（壁芯）,ワンルーム,-,1987年3月
高幡台住宅　２６号棟,780万円,東京都日野市三沢,京王線「高幡不動」徒歩11分,48.85m2（14.77坪）（壁芯）,2LDK,6m2,1970年7月
ライオンズマンション西日暮里北,880万円,東京都荒川区東尾久２-４４－１６,日暮里・舎人ライナー「赤土小学校前」徒歩3分,19.6m2（壁芯）,1K,3.36m2,1989年10月
ライオンズガーデン町田の丘,900万円,東京都町田市図師町,ＪＲ横浜線「町田」バス20分停歩3分,51.87m2（壁芯）,3LDK,7.41m2,1993年9月
武蔵小金井フラワーホーム,980万円,東京都小金井市緑町５,ＪＲ中央線「武蔵小金井」徒歩12分,26.22m2（壁芯）,ワンルーム,7m2,1977年7月
サンハイツ京王よみうりランド,1080万円,東京都稲城市矢野口,京王相模原線「京王よみうりランド」徒歩6分,29.25m2（壁芯）,ワンルーム,8.55m2,1986年3月
愛宕二丁目住宅２－５－２号棟,1180万円,東京都多摩市愛宕２,京王相模原線「京王永山」徒歩18分,52.58m2（15.90坪）（壁芯）,2LDK,9.18m2,1972年5月
日神パレステージ所沢,1280万円,東京都東村山市久米川町５,西武新宿線「所沢」徒歩22分,48.23m2（14.58坪）（壁芯）,2DK+S（納戸）,6.06m2,1991年3月
プレール新中野,1280万円,東京都中野区中央４,東京メトロ丸ノ内線「新中野」徒歩3分,17.45m2（5.27坪）（壁芯）,1K,2.5m2,1990年3月
ニュー荻窪フラワーホーム,1280万円,東京都杉並区桃井３,ＪＲ中央線「荻窪」徒歩18分,31.44m2（9.51坪）（壁芯）,1DK,5.51m2,1972年2月
ライオンズマンション西日暮里北,1380万円,東京都荒川区東尾久２,日暮里・舎人ライナー「赤土小学校前」徒歩3分,44.62m2（壁芯）,2DK,11.01m2,1989年10月
カルム赤坂,1380万円,東京都港区赤坂９,東京メトロ千代田線「乃木坂」徒歩5分,21.46m2（壁芯）,ワンルーム,-,1976年6月
ライオンズマンション青戸第２,1398万円,東京都葛飾区青戸７-１６－２,京成本線「青砥」徒歩12分,28.72m2（壁芯）,1K,3.74m2,1987年6月
田町サンハイツ,1450万円,東京都港区芝浦３,ＪＲ山手線「田町」徒歩4分,17.36m2（壁芯）,ワンルーム,2.7m2,1976年4月
吾妻橋マンション,1480万円,東京都墨田区吾妻橋３-7,都営浅草線「本所吾妻橋」徒歩1分,33.46m2（10.12坪）（壁芯）,1LDK,2.96m2,1971年4月
高幡芙蓉ハイツ　７号棟,1480万円,東京都日野市三沢４,京王線「高幡不動」徒歩5分,64.17m2（19.41坪）（壁芯）,2LDK,6.67m2,1973年9月
文京第３ライオンズマンション,1498万円,東京都文京区白山５,都営三田線「千石」徒歩7分,20.07m2（壁芯）,ワンルーム,2.75m2,1982年11月
東大和ナショナルコート,1580万円,東京都東大和市立野３,多摩都市モノレール「上北台」徒歩11分,61.2m2,2LDK,8.4m2,1984年7月
シャトレー上野,1580万円,東京都台東区東上野４-17-11,ＪＲ山手線「上野」徒歩5分,22.36m2（壁芯）,1K,2.35m2,1981年12月
ビーグルマンション砂川町,1580万円,東京都立川市砂川町８,西武拝島線「武蔵砂川」徒歩14分,84.54m2,4LDK,9.42m2,1998年1月
リーベスト田無,1580万円,東京都西東京市芝久保町５,西武新宿線「田無」徒歩17分,58.57m2（17.71坪）（壁芯）,2LDK+S（納戸）,-,1995年3月
西八王子ハイツB棟,1580万円,東京都八王子市散田町１,ＪＲ中央線「西八王子」徒歩3分,63.08m2（壁芯）,2LDK,2.82m2,1970年2月
ホームタウン宮前3号棟,1590万円,東京都東大和市高木３,西武多摩湖線「武蔵大和」徒歩18分,97.62m2（壁芯）,4LDK,3.54m2,1982年8月
ホームタウン宮前,1590万円,東京都東大和市高木３,西武拝島線「東大和市」バス7分停歩9分,97.62m2（29.52坪）（壁芯）,4LDK,3.54m2,1982年8月
≪弊社売主物件≫「車返団地１-７号棟」月々４万円台～,1590万円,東京都府中市白糸台５,京王線「武蔵野台」徒歩7分,48.99m2（壁芯）,2LDK,13.97m2,1975年10月
メゾンドール・フィオール八王子高尾,1599万円,東京都八王子市館町,京王高尾線「高尾」徒歩25分,73.62m2,3LDK,19.61m2,1999年3月
シャンボール旗の台,1600万円,東京都品川区旗の台２-９－３,東急大井町線「旗の台」徒歩3分,34.3m2,ワンルーム,3.15m2,1970年1月
ライオンズヴィアーレ花小金井,1630万円,東京都小平市花小金井７,西武新宿線「花小金井」徒歩12分,52.32m2（壁芯）,1LDK,9m2,1989年6月
エミネンス長池南,1650万円,東京都八王子市別所２,京王相模原線「京王堀之内」徒歩5分,94.88m2（壁芯）,4LDK,11.02m2,1991年3月
ダイアパレス四谷舟町,1680万円,東京都新宿区舟町7-6,東京メトロ丸ノ内線「四谷三丁目」徒歩3分,27.42m2（壁芯）,ワンルーム,3.36m2,1979年3月
