,0,
40,11DDKK,2DK
35,14LDK,14LDK
2,1DK,1DK
23,1DK+S（納戸）,2DK
1,1K,1K
26,1K+S（納戸）,2K
4,1LDK,1LDK
30,1LDK+2S（納戸）,3LDK
42,1LDK+3S（納戸）,4LDK
8,1LDK+S（納戸）,2LDK
32,1LK,1DK
34,1LK+S（納戸）,2DK
47,1ワンルーム,1R
3,2DK,2DK
14,2DK+S（納戸）,3DK
10,2K,
39,2K+S（納戸）,
5,2LDK,
24,2LDK+2S（納戸）,
12,2LDK+S（納戸）,
15,2LK,
6,3DK,
11,3DK+S（納戸）,
13,3K,
31,3K+S（納戸）,
36,3KK,
7,3LDK,
21,3LDK+2S（納戸）,
43,3LDK+3S（納戸）,
16,3LDK+S（納戸）,
33,3LK,
19,4DK,
27,4K,
9,4LDK,
25,4LDK+2S（納戸）,
22,4LDK+3S（納戸）,
17,4LDK+S（納戸）,
45,4LK,
29,5DK,
18,5LDK,
44,5LDK+S（納戸）,
46,5LLDDKK+S（納戸）,
37,6LDK,
38,6LDK+S（納戸）,
41,6LLDDKK+S（納戸）,
20,7LDK,
0,ワンルーム,
28,ワンルーム+S（納戸）,
