,name,price,location,size,floor,terrace,age
0,＜秀和めじろ台レジデンス＞椚田町,1280,東京都八王子市椚田町,56.16,2LDK,6.5,1972年12月
1,東武西新井第一サンライトマンション,1390,東京都足立区西新井本町１,54.58,2LDK,7.05,1971年6月
2,ライオンズマンション昭島,1480,東京都昭島市武蔵野２,50.59,2LDK,8.1,1993年2月
3,ジードルンク多摩川,1480,東京都調布市多摩川５,51.84,2LDK,4.56,1978年6月
4,トダカ西荻コーポ,1480,東京都杉並区西荻北３,29.37,2DK,2.75,1971年11月
5,グリーンパーク第１５綾瀬,1480,東京都足立区東和５,42.96,1LDK,3.93,1985年2月
6,クリオ日野弐番館,1490,東京都日野市大坂上４,56.04,2LDK,10,1996年3月
7,クリオ日野弐番館,1490,東京都日野市大坂上４,56.04,2LDK,10,1996年3月
8,ライオンズマンション中野東,1498,東京都中野区東中野４-３０－１６,17.87,ワンルーム,-,1986年10月
9,ハイツ昭島,1499,東京都昭島市武蔵野２,69.6,3LDK,156.6,1974年10月
10,ライオンズマンション高幡不動第弐,1580,東京都日野市三沢３,61.25,3LDK,7.15,1988年3月
11,車返団地,1580,東京都府中市押立町２,51.78,3DK,6.77,1975年10月
12,ネオコーポ武蔵野,1580,東京都東村山市美住町２,66.3,3LDK,8.33,1977年10月
13,ジョイフル阿佐谷,1598,東京都杉並区阿佐谷北４,33.12,1LDK,3.6,1979年8月
14,むさしのコーポ,1598,東京都武蔵野市西久保３,43.2,1DK+S（納戸）,5.52,1969年8月
15,朝日パリオ国分寺,1680,東京都府中市新町１,50.51,3DK,8.04,1993年4月
16,アルファスクエア東久留米パークイースト,1690,東京都東久留米市前沢４,61.75,2LDK+S（納戸）,-,2005年11月
17,新宿ダイカンプラザＢ館,1700,東京都新宿区西新宿７,19.38,ワンルーム,2.28,1979年2月
18,聖蹟桜ヶ丘の街並みを望む人気の東南角部屋！ペット飼育…,1750,東京都多摩市和田,66.17,3LDK,6.67,1984年1月
19,ウイングヒルズ久米川パート２,1780,東京都東村山市美住町１,56,2LDK,12.63,1997年7月
20,京王めじろ台マンションC棟,1780,東京都八王子市めじろ台１,60.22,3LDK,7.83,1973年3月
21,マンション北町,1780,東京都練馬区北町３,47.39,1LDK+S（納戸）,6.6,1974年7月
22,ウエスト小金井2号棟,1780,東京都小金井市前原町４,90.59,3LDK,5.1,1974年11月
23,浅草サンパワー,1790,東京都台東区橋場２-1-8,42.86,2DK,8.01,1979年12月
24,グリーンパーク第５綾瀬,1798,東京都足立区青井５,40.1,2K,8.39,1981年7月
25,ＧＳハイム荏原,1798,東京都品川区中延６,34.02,1LDK,2.9,1979年7月
26,北千住ダイヤモンドマンション,1798,東京都足立区千住仲町,32.36,1LDK,3.33,1978年1月
27,ダイアパレス昭島2,1820,東京都昭島市田中町４,73,3LDK,12,1991年2月
28,ウイスタリヤマンション栄町,1850,東京都立川市栄町４,53.46,1LDK,6.48,1984年8月
29,ノナ由木坂,1880,東京都八王子市別所２,77.21,3LDK,16.3,1994年3月
30,グリーンパーク花畑４,1880,東京都足立区花畑４,59.87,2DK+S（納戸）,10.86,1988年4月
31,北千住第２ダイヤモンドマンション,1880,東京都足立区千住元町,48.39,2LDK,-,1978年10月
32,＜売主＞ライオンズマンション西新井第2フェローヒルズ…,1880,東京都足立区島根３,56.33,3DK,7.2,1985年4月
33,東中野ローヤルコーポ,1880,東京都中野区中央１-27-21,39.6,2DK,2.8,1971年8月
34,ハイホーム花小金井,1880,東京都小平市花小金井南町１,65,2LDK,8.48,1980年10月
35,ワコーレ拝島,1890,東京都昭島市拝島町３,64.96,3LDK,6.74,1990年5月
36,メゾン久米川,1890,東京都東村山市栄町３,63.61,2LDK,6.75,1975年9月
37,小林ＮＩＣハイム木場公園第２,1890,東京都江東区木場５-1,40.37,1LDK,4.08,1982年3月
38,秀和高円寺レジデンス,1898,東京都杉並区高円寺北４,29.25,ワンルーム,3,1971年9月
39,トーカンマンション八広,1898,東京都墨田区八広５,42.07,2DK,7.25,1980年12月
40,武蔵野スカイハイツ,1899,東京都西東京市芝久保町４,60.08,2LDK,9.45,1974年8月
41,リバーサイドマンション江戸川,1899,東京都江戸川区北小岩３,57.27,2LDK,19.1,1973年7月
42,マイキャッスル東浅川,1980,東京都八王子市東浅川町,79.37,3LDK,16.2,2003年2月
43,サンクレイドル立川リヴィエールⅡ,1980,東京都立川市富士見町７,63.8,3LDK,8.53,2012年5月
44,レクセルガーデン武蔵砂川,1980,東京都立川市一番町５,66.64,3LDK,13.38,1999年2月
45,南町田スカイハイツ,1980,東京都町田市鶴間６,66.7,2LDK+S（納戸）,8.12,1983年3月
46,◆売主直売◆フルリフォーム◆駅徒歩１３分◆金町東建マ…,1980,東京都葛飾区金町１,57.2,2LDK,7.15,1976年6月
47,下階と両隣りに部屋がない×駅３分×南向き×防音二重床…,1980,東京都小平市学園西町３,65.46,2LDK+S（納戸）,10.02,2001年3月
48,ロイヤルステージ小作,1980,東京都青梅市新町３,78.5,3LDK,3.91,1998年6月
49,東海第一グリーンパークマンション,1980,東京都武蔵野市緑町１,57.22,1LDK+S（納戸）,4.86,1971年11月
